assembly	taxid	organism	file	bytes	atps_ids	n_reactions	has_atps	genus
GCF_000373805.1	1121366	Corynebacterium pilosum DSM 20521	Corynebacterium_pilosum_DSM_20521.xml.gz	134890		1177	False	Corynebacterium
GCF_000421465.1	1283300	Methylohalobius crimeensis 10Ki	Methylohalobius_crimeensis_10Ki.xml.gz	152935	R_ATPS4rpp;	1399	True	Methylohalobius
GCF_000152825.2	314260	Parvularcula bermudensis HTCC2503	Parvularcula_bermudensis_HTCC2503.xml.gz	145415		1359	False	Parvularcula
GCF_000974365.1	1236989	Geofilum rubicundum JCM 15548	Geofilum_rubicundum_JCM_15548.xml.gz	152599		1403	False	Geofilum
GCF_000165675.1	907931	Leuconostoc fallax KCTC 3537	Leuconostoc_fallax_KCTC_3537.xml.gz	96767		829	False	Leuconostoc
GCF_001029445.1	1195763	Photobacterium aquae	Photobacterium_aquae_CGMCC_1_12159.xml.gz	202690		2068	False	Photobacterium
GCF_000422265.1	1121288	Chryseobacterium palustre DSM 21579	Chryseobacterium_palustre_DSM_21579.xml.gz	152041		1417	False	Chryseobacterium
GCF_001418655.1	1923	Streptomyces phaeochromogenes	Streptomyces_phaeochromogenes_NRRL_B_1248.xml.gz	210397		2006	False	Streptomyces
GCF_900105785.1	546874	Friedmanniella sagamiharensis	Friedmanniella_sagamiharensis_DSM_21743.xml.gz	162380		1479	False	Friedmanniella
GCF_000210095.1	213810	Ruminococcus champanellensis 18P13 = JCM 17042	Ruminococcus_champanellensis_18P13_JCM_17042_type_strain_18P13.xml.gz	126698		1172	False	Ruminococcus
GCF_000527095.1	1114263	Methylosarcina lacus LW14	Methylosarcina_lacus_LW14.xml.gz	160668	R_ATPS4rpp;	1492	True	Methylosarcina
GCF_900102545.1	104663	Chitinophaga filiformis	Chitinophaga_filiformis_DSM_527.xml.gz	185478		1740	False	Chitinophaga
GCF_000423445.1	1122998	Acidipropionibacterium thoenii DSM 20276	Acidipropionibacterium_thoenii_DSM_20276.xml.gz	151099		1379	False	Acidipropionibacterium
GCF_000013325.1	279238	Novosphingobium aromaticivorans DSM 12444	Novosphingobium_aromaticivorans_DSM_12444.xml.gz	179772		1702	False	Novosphingobium
GCF_002094855.1	1185767	Zunongwangia atlantica 22II14-10F7	Zunongwangia_atlantica_22II14_10F7.xml.gz	173026		1609	False	Zunongwangia
GCF_000008765.1	272562	Clostridium acetobutylicum ATCC 824	Clostridium_acetobutylicum_ATCC_824.xml.gz	145826		1360	False	Clostridium
GCF_001874525.1	117209	Desulfovibrio dechloracetivorans	Desulfovibrio_dechloracetivorans_BerOc1.xml.gz	166462		1529	False	Desulfovibrio
GCF_000438455.1	1232430	Nosocomiicoccus massiliensis	Nosocomiicoccus_massiliensis_NP2.xml.gz	106970		948	False	Nosocomiicoccus
GCF_001640115.1	1333662	Polaribacter atrinae	Polaribacter_atrinae_KACC_17473.xml.gz	164952		1494	False	Polaribacter
GCF_000376105.1	1121022	Asticcacaulis benevestitus DSM 16100 = ATCC BAA-896	Asticcacaulis_benevestitus_DSM_16100_ATCC_BAA_896.xml.gz	171918		1644	False	Asticcacaulis
GCF_900099615.1	34095	Borreliella japonica	Borreliella_japonica_ATCC_51557.xml.gz	72838		686	False	Borreliella
GCF_001437075.1	331679	Pediococcus stilesii	Pediococcus_stilesii_DSM_18001.xml.gz	115206		1074	False	Pediococcus
GCF_001941945.1	257708	Roseomonas gilardii	Roseomonas_gilardii_U14_5.xml.gz	204491		1950	False	Roseomonas
GCF_000568815.1	1150621	Sulfurospirillum multivorans DSM 12446	Sulfurospirillum_multivorans_DSM_12446.xml.gz	153523		1462	False	Sulfurospirillum
GCF_001447335.1	652	Aeromonas schubertii	Aeromonas_schubertii_WL1483.xml.gz	208190	R_ATPS4rpp;	2121	True	Aeromonas
GCF_000317435.1	1170562	Calothrix sp. PCC 6303	Calothrix_sp_PCC_6303.xml.gz	144312		1255	False	Calothrix
GCF_900105925.1	419479	Jiangella alkaliphila	Jiangella_alkaliphila_DSM_45079.xml.gz	175631		1559	False	Jiangella
GCF_000158215.3	469599	Fusobacterium periodonticum 2_1_31	Fusobacterium_periodonticum_2_1_31.xml.gz	125651		1157	False	Fusobacterium
GCF_900162665.1	582851	Oceanobacillus sojae	Oceanobacillus_sojae_SK_2.xml.gz	167975		1566	False	Oceanobacillus
GCF_900188185.1	436663	Sphingopyxis indica	Sphingopyxis_indica_DS15.xml.gz	163497		1542	False	Sphingopyxis
GCF_000821065.1	545501	Oceanobacillus oncorhynchi	Oceanobacillus_oncorhynchi_Oc5.xml.gz	173443		1646	False	Oceanobacillus
GCF_900112545.1	517719	Pseudooceanicola nitratireducens	Pseudooceanicola_nitratireducens_DSM_29619.xml.gz	171118		1491	False	Pseudooceanicola
GCF_000286395.1	1179226	Staphylococcus lentus F1142	Staphylococcus_lentus_F1142.xml.gz	150483		1306	False	Staphylococcus
GCF_000741765.1	356829	Bifidobacterium tsurumiense	Bifidobacterium_tsurumiense_JCM_13495.xml.gz	115234		1053	False	Bifidobacterium
GCF_900177295.1	560819	Tistlia consotensis USBA 355	Tistlia_consotensis_USBA_355.xml.gz	197759		1801	False	Tistlia
GCF_000285555.1	1033739	Kurthia massiliensis	Kurthia_massiliensis_JC30T.xml.gz	147965		1377	False	Kurthia
GCF_900112355.1	910347	Streptomyces aidingensis	Streptomyces_aidingensis_CGMCC_4_5739.xml.gz	166529		1513	False	Streptomyces
GCF_900111135.1	137733	Granulicatella balaenopterae	Granulicatella_balaenopterae_DSM_15827.xml.gz	93211		804	False	Granulicatella
GCF_000427625.1	1095552	Methylobacter luteus IMV-B-3098	Methylobacter_luteus_IMV_B_3098.xml.gz	171144	R_ATPS4rpp;	1602	True	Methylobacter
GCF_000185725.2	679197	Segniliparus rugosus ATCC BAA-974	Segniliparus_rugosus_ATCC_BAA_974.xml.gz	147830		1333	False	Segniliparus
GCF_001742225.1	158500	Novosphingobium resinovorum	Novosphingobium_resinovorum_SA1.xml.gz	208448		2025	False	Novosphingobium
GCF_001545035.1	1777143	Caballeronia glebae	Caballeronia_glebae.xml.gz	216823		2029	False	Caballeronia
GCF_000328705.1	1179773	Saccharothrix espanaensis DSM 44229	Saccharothrix_espanaensis_DSM_44229_type_strain_DSM_44229.xml.gz	197190		1860	False	Saccharothrix
GCF_000741575.1	1688	Bifidobacterium cuniculi	Bifidobacterium_cuniculi_LMG_10738.xml.gz	117131		1080	False	Bifidobacterium
GCF_000617925.1	1236959	Methylobacillus glycogenes JCM 2850	Methylobacillus_glycogenes_JCM_2850.xml.gz	135221	R_ATPS4rpp;	1307	True	Methylobacillus
GCF_000381785.1	1278309	Amphritea japonica ATCC BAA-1530	Amphritea_japonica_ATCC_BAA_1530_JAMM_1866.xml.gz	164912		1484	False	Amphritea
GCF_900110835.1	29529	Chitinophaga arvensicola	Chitinophaga_arvensicola_DSM_3695.xml.gz	180266		1671	False	Chitinophaga
GCF_000374165.1	222534	Frankia elaeagni	Frankia_elaeagni_BMG5_12.xml.gz	172240		1545	False	Frankia
GCF_000413035.1	1125700	Treponema medium ATCC 700293	Treponema_medium_ATCC_700293.xml.gz	118819		1134	False	Treponema
GCF_000015125.1	290317	Chlorobium phaeobacteroides DSM 266	Chlorobium_phaeobacteroides_DSM_266.xml.gz	148300		1361	False	Chlorobium
GCF_001885905.1	319970	Enterococcus devriesei	Enterococcus_devriesei_DSM_22802.xml.gz	138768		1264	False	Enterococcus
GCF_000016065.1	323850	Shewanella loihica PV-4	Shewanella_loihica_PV_4.xml.gz	198386		2010	False	Shewanella
GCF_001050035.1	1566885	Mycobacterium komanii	Mycobacterium_komanii_GPK_1020.xml.gz	162252		1413	False	Mycobacterium
GCF_001757355.1	1592790	Sphingobium phenoxybenzoativorans	Sphingobium_phenoxybenzoativorans_SC_3.xml.gz	179081		1685	False	Sphingobium
GCF_001493375.1	498367	Streptomyces specialis	Streptomyces_specialis_type_strain_GW41_1564.xml.gz	163575		1452	False	Streptomyces
GCF_900142165.1	1121950	Hespellia stercorisuis DSM 15480	Hespellia_stercorisuis_DSM_15480.xml.gz	138829		1233	False	Hespellia
GCF_000428805.1	1121360	Corynebacterium freiburgense DSM 45254	Corynebacterium_freiburgense_DSM_45254.xml.gz	136120		1191	False	Corynebacterium
GCF_001880325.1	56956	Thermus brockianus	Thermus_brockianus_GE_1.xml.gz	143203		1280	False	Thermus
GCF_001562425.1	520764	Fervidicola ferrireducens	Fervidicola_ferrireducens_Y170.xml.gz	134572		1213	False	Fervidicola
GCF_000621145.1	1121402	Desulfobulbus elongatus DSM 2908	Desulfobulbus_elongatus_DSM_2908.xml.gz	166974		1569	False	Desulfobulbus
GCF_000320365.1	1230338	Moraxella macacae 0408225	Moraxella_macacae_0408225.xml.gz	134245	R_ATPS4rpp;	1224	True	Moraxella
GCF_001421015.2	1616788	Paenibacillus bovis	Paenibacillus_bovis_BD3526.xml.gz	175778		1670	False	Paenibacillus
GCF_001895085.1	1921010	Mariprofundus micogutta	Mariprofundus_micogutta_ET2.xml.gz	144386	R_ATPS4rpp;	1317	True	Mariprofundus
GCF_900115815.1	93684	Roseivivax halotolerans	Roseivivax_halotolerans_JCM_10271.xml.gz	174816		1598	False	Roseivivax
GCF_000812875.1	510955	Chryseobacterium solincola	Chryseobacterium_solincola_DSM_22468.xml.gz	144076		1307	False	Chryseobacterium
GCF_000300815.1	1046714	Gayadomonas joobiniege G7	Gayadomonas_joobiniege_G7.xml.gz	170121		1625	False	Gayadomonas
GCF_000062885.1	405948	Saccharopolyspora erythraea NRRL 2338	Saccharopolyspora_erythraea_NRRL_2338.xml.gz	192313		1770	False	Saccharopolyspora
GCF_000017585.1	360107	Campylobacter hominis ATCC BAA-381	Campylobacter_hominis_ATCC_BAA_381.xml.gz	115644		1042	False	Campylobacter
GCF_000832015.1	679259	Gilvimarinus agarilyticus	Gilvimarinus_agarilyticus_JEA5.xml.gz	173299	R_ATPS4rpp;	1634	True	Gilvimarinus
GCF_000231275.1	742725	Alistipes indistinctus YIT 12060	Alistipes_indistinctus_YIT_12060.xml.gz	141729		1331	False	Alistipes
GCF_000309385.1	118166	Nodosilinea nodulosa PCC 7104	Nodosilinea_nodulosa_PCC_7104.xml.gz	156022		1366	False	Nodosilinea
GCF_001449115.1	1577687	Terracidiphilus gabretensis	Terracidiphilus_gabretensis_S55.xml.gz	174871		1630	False	Terracidiphilus
GCF_000701705.1	1408428	Bilophila wadsworthia ATCC 49260	Bilophila_wadsworthia_ATCC_49260.xml.gz	167881		1551	False	Bilophila
GCF_002104475.1	1888913	Colwellia mytili	Colwellia_mytili_KCTC_52417.xml.gz	177765		1654	False	Colwellia
GCF_000013885.1	323097	Nitrobacter hamburgensis X14	Nitrobacter_hamburgensis_X14.xml.gz	163443		1448	False	Nitrobacter
GCF_000515395.1	987045	Jiangella gansuensis DSM 44835	Jiangella_gansuensis_DSM_44835.xml.gz	171675		1507	False	Jiangella
GCF_000173975.1	411469	[Eubacterium] hallii DSM 3353	Eubacterium_hallii_DSM_3353.xml.gz	139689		1255	False	[Eubacterium]
GCF_000160095.1	566550	Hungatella hathewayi DSM 13479	Hungatella_hathewayi_DSM_13479.xml.gz	168891		1555	False	Hungatella
GCF_900100155.1	177413	Ancylobacter rudongensis	Ancylobacter_rudongensis_CGMCC_1_1761.xml.gz	180502		1641	False	Ancylobacter
GCF_001431195.1	480284	Virgibacillus soli	Virgibacillus_soli_PL205.xml.gz	158746		1451	False	Virgibacillus
GCF_001571305.1	1219360	Erwinia persicina NBRC 102418	Erwinia_persicina_NBRC_102418.xml.gz	242800	R_ATPS4rpp;	2572	True	Erwinia
GCF_001553195.1	1117644	Mycoplasma canis PG 14	Mycoplasma_canis_PG_14.xml.gz	58668		523	False	Mycoplasma
GCF_000428785.1	1121351	Conchiformibius kuhniae DSM 17694	Conchiformibius_kuhniae_DSM_17694.xml.gz	149031		1408	False	Conchiformibius
GCF_002162375.1	141451	Oleiphilus messinensis	Oleiphilus_messinensis_ME102.xml.gz	179235	R_ATPS4rpp;	1633	True	Oleiphilus
GCF_002108605.1	326522	Neisseria animaloris	Neisseria_animaloris_DSM_21642.xml.gz	159880		1564	False	Neisseria
GCF_000517545.1	1445607	Bacteroides reticulotermitis JCM 10512	Bacteroides_reticulotermitis_JCM_10512.xml.gz	138582		1303	False	Bacteroides
GCF_900104135.1	419597	Halomonas shengliensis	Halomonas_shengliensis_CGMCC_1_6444.xml.gz	197067	R_ATPS4rpp;	1938	True	Halomonas
GCF_000317475.1	179408	Oscillatoria nigro-viridis PCC 7112	Oscillatoria_nigro_viridis_PCC_7112.xml.gz	148916		1311	False	Oscillatoria
GCF_001618885.1	70255	Staphylococcus condimenti	Staphylococcus_condimenti_DSM_11674.xml.gz	137352		1161	False	Staphylococcus
GCF_001467585.1	1212489	Legionella drozanskii LLAP-1	Legionella_drozanskii_LLAP_1_ATCC_700990.xml.gz	160496		1507	False	Legionella
GCF_000152145.1	765420	Oscillochloris trichoides DG-6	Oscillochloris_trichoides_DG_6.xml.gz	145725		1315	False	Oscillochloris
GCF_001010285.1	230089	Photorhabdus temperata subsp. thracensis	Photorhabdus_temperata_subsp_thracensis_DSM_15199.xml.gz	214800	R_ATPS4rpp;	2230	True	Photorhabdus
GCF_000186265.1	688270	Cellulophaga algicola DSM 14237	Cellulophaga_algicola_DSM_14237.xml.gz	167916		1540	False	Cellulophaga
GCF_900129055.1	1122156	Lampropedia hyalina DSM 16112	Lampropedia_hyalina_DSM_16112.xml.gz	165706		1545	False	Lampropedia
GCF_001650715.1	1285242	Magnetospirillum marisnigri	Magnetospirillum_marisnigri_SP_1.xml.gz	174148		1590	False	Magnetospirillum
GCF_001466665.1	1217799	Dehalogenimonas alkenigignens	Dehalogenimonas_alkenigignens_IP3_3.xml.gz	111602		975	False	Dehalogenimonas
GCF_900167255.1	92487	Thiothrix eikelboomii	Thiothrix_eikelboomii_ATCC_49788.xml.gz	187741	R_ATPS4rpp;	1810	True	Thiothrix
GCF_000379945.1	1122974	Porphyromonas macacae DSM 20710 = JCM 13914	Porphyromonas_macacae_DSM_20710_JCM_13914.xml.gz	133158		1262	False	Porphyromonas
GCF_000026745.1	568814	Streptococcus suis BM407	Streptococcus_suis_BM407.xml.gz	118487		1090	False	Streptococcus
GCF_000686545.1	1408449	Mesoplasma syrphidae ATCC 51578	Mesoplasma_syrphidae_ATCC_51578.xml.gz	70057		644	False	Mesoplasma
GCF_000311785.1	1118054	Brevibacillus massiliensis	Brevibacillus_massiliensis.xml.gz	188759		1764	False	Brevibacillus
GCF_000025205.1	553190	Gardnerella vaginalis 409-05	Gardnerella_vaginalis_409_05.xml.gz	83097		704	False	Gardnerella
GCF_900111265.1	1121357	Corynebacterium cystitidis DSM 20524	Corynebacterium_cystitidis_DSM_20524.xml.gz	131631		1151	False	Corynebacterium
GCF_001592935.1	296218	Roseivirga echinicomitans	Roseivirga_echinicomitans_KMM_6058.xml.gz	157725		1397	False	Roseivirga
GCF_000423005.1	1121912	Gelidibacter mesophilus DSM 14095	Gelidibacter_mesophilus_DSM_14095.xml.gz	163264		1486	False	Gelidibacter
GCF_900107105.1	1137993	Geodermatophilus africanus	Geodermatophilus_africanus_DSM_45422.xml.gz	172131		1511	False	Geodermatophilus
GCF_001660705.2	1849719	Labilibacter aurantiacus	Labilibacter_aurantiacus_HQYD1.xml.gz	171248		1571	False	Labilibacter
GCF_002120225.1	1635173	Tenacibaculum holothuriorum	Tenacibaculum_holothuriorum_S2_2.xml.gz	151948		1352	False	Tenacibaculum
GCF_000746645.1	470	Acinetobacter baumannii	Acinetobacter_baumannii_AB030.xml.gz	204476	R_ATPS4rpp;	1989	True	Acinetobacter
GCF_001418575.1	66896	Streptomyces griseoplanus	Streptomyces_griseoplanus_NRRL_B_3064.xml.gz	187525		1740	False	Streptomyces
GCF_900142035.1	415425	Flavobacterium terrae	Flavobacterium_terrae_DSM_18829.xml.gz	145552		1291	False	Flavobacterium
GCF_000429545.1	1121011	Arenibacter certesii DSM 19833	Arenibacter_certesii_DSM_19833.xml.gz	170894		1547	False	Arenibacter
GCF_001729525.1	1703	Brevibacterium linens	Brevibacterium_linens_SMQ_1335.xml.gz	160348		1446	False	Brevibacterium
GCF_000422525.1	1121434	Halodesulfovibrio aestuarii DSM 10141	Halodesulfovibrio_aestuarii_DSM_10141.xml.gz	154490		1427	False	Halodesulfovibrio
GCF_000518205.1	1408438	Facklamia sourekii ATCC 700629	Facklamia_sourekii_ATCC_700629.xml.gz	121394		1112	False	Facklamia
GCF_001310775.1	1236960	Stenotrophomonas pictorum JCM 9942	Stenotrophomonas_pictorum_JCM_9942.xml.gz	142939		1293	False	Stenotrophomonas
GCF_001550055.1	637679	Kordiimonas lacus	Kordiimonas_lacus_S3_22.xml.gz	164794		1486	False	Kordiimonas
GCF_000966355.1	480418	Mycobacterium lepromatosis	Mycobacterium_lepromatosis_Mx1_22A.xml.gz	109016		876	False	Mycobacterium
GCF_000341895.1	1322246	Pseudodesulfovibrio piezophilus C1TLV30	Pseudodesulfovibrio_piezophilus_C1TLV30_type_strain_C1TLV30.xml.gz	152363		1381	False	Pseudodesulfovibrio
GCF_001263395.1	1437605	Bifidobacterium actinocoloniiforme DSM 22766	Bifidobacterium_actinocoloniiforme_DSM_22766.xml.gz	106447		1009	False	Bifidobacterium
GCF_001721645.1	430522	Pedobacter steynii	Pedobacter_steynii_DX4.xml.gz	177391		1676	False	Pedobacter
GCF_000518765.1	1336236	Ruminococcus flavefaciens ATCC 19208	Ruminococcus_flavefaciens_ATCC_19208.xml.gz	124757		1092	False	Ruminococcus
GCF_001437055.1	396268	Lactobacillus secaliphilus	Lactobacillus_secaliphilus_DSM_17896.xml.gz	98740		928	False	Lactobacillus
GCF_000285835.1	1033736	Brevibacterium senegalense	Brevibacterium_senegalense.xml.gz	143560		1267	False	Brevibacterium
GCF_900103835.1	258515	Acetanaerobacterium elongatum	Acetanaerobacterium_elongatum_CGMCC_1_5012.xml.gz	131863		1208	False	Acetanaerobacterium
GCF_001663175.1	1112	Porphyrobacter neustonensis	Porphyrobacter_neustonensis_DSM_9434.xml.gz	154995		1425	False	Porphyrobacter
GCF_000565215.1	1276257	Spiroplasma sabaudiense Ar-1343	Spiroplasma_sabaudiense_Ar_1343.xml.gz	74842		679	False	Spiroplasma
GCF_000160575.1	585506	Weissella paramesenteroides ATCC 33313	Weissella_paramesenteroides_ATCC_33313.xml.gz	115448		1055	False	Weissella
GCF_000317575.1	111780	Stanieria cyanosphaera PCC 7437	Stanieria_cyanosphaera_PCC_7437.xml.gz	152725		1351	False	Stanieria
GCF_900163755.1	360316	Crenothrix polyspora	Crenothrix_polyspora.xml.gz	153815	R_ATPS4rpp;	1413	True	Crenothrix
GCF_001940525.2	1915078	Thioclava nitratireducens	Thioclava_nitratireducens_25B10_4.xml.gz	187510		1738	False	Thioclava
GCF_000770305.1	796334	Erwinia oleae	Erwinia_oleae_DAPP_PG531.xml.gz	235330	R_ATPS4rpp;	2488	True	Erwinia
GCF_900115735.1	43305	Butyrivibrio proteoclasticus	Butyrivibrio_proteoclasticus_P18.xml.gz	142830		1302	False	Butyrivibrio
GCF_900100975.1	492660	Methylophilus rhizosphaerae	Methylophilus_rhizosphaerae_CBMB127.xml.gz	145843		1384	False	Methylophilus
GCF_001314945.1	148814	Lactobacillus kunkeei	Lactobacillus_kunkeei_MP2.xml.gz	104339		951	False	Lactobacillus
GCF_900172285.1	475083	Roseovarius aestuarii	Roseovarius_aestuarii_CECT_7745.xml.gz	179749		1612	False	Roseovarius
GCF_001983995.1	930805	Halioglobus japonicus	Halioglobus_japonicus_NBRC_107739.xml.gz	169624		1537	False	Halioglobus
GCF_000429345.1	1121468	Desulfovirgula thermocuniculi DSM 16036	Desulfovirgula_thermocuniculi_DSM_16036.xml.gz	141364		1236	False	Desulfovirgula
GCF_000016345.1	312153	Polynucleobacter asymbioticus QLW-P1DMWA-1	Polynucleobacter_asymbioticus_QLW_P1DMWA_1.xml.gz	147773		1340	False	Polynucleobacter
GCF_000332155.1	402777	Kamptonema formosum PCC 6407	Kamptonema_formosum_PCC_6407.xml.gz	154027		1355	False	Kamptonema
GCF_001404895.1	1267	Clostridium ventriculi	Clostridium_ventriculi_2789STDY5834858.xml.gz	122271		1071	False	Clostridium
GCF_000400735.1	1120927	Acinetobacter tandoii DSM 14970 = CIP 107469	Acinetobacter_tandoii_DSM_14970_CIP_107469.xml.gz	181518	R_ATPS4rpp;	1717	True	Acinetobacter
GCF_900104475.1	405564	Actinopolyspora xinjiangensis	Actinopolyspora_xinjiangensis_DSM_46732.xml.gz	166281		1504	False	Actinopolyspora
GCF_900156765.1	477680	Filimonas lacunae	Filimonas_lacunae_DSM_21054.xml.gz	182657		1702	False	Filimonas
GCF_002086415.1	459858	Mycobacterium noviomagense	Mycobacterium_noviomagense_DSM_45145.xml.gz	149994		1285	False	Mycobacterium
GCF_001556105.1	128785	Pseudoxanthomonas mexicana	Pseudoxanthomonas_mexicana_CCH9_G4.xml.gz	171779		1604	False	Pseudoxanthomonas
GCF_000021485.1	243159	Acidithiobacillus ferrooxidans ATCC 23270	Acidithiobacillus_ferrooxidans_ATCC_23270.xml.gz	146699	R_ATPS4rpp;	1317	True	Acidithiobacillus
GCF_002007745.1	758802	Mycobacterium litorale	Mycobacterium_litorale_F4.xml.gz	171396		1529	False	Mycobacterium
GCF_002161865.1	46240	Paenibacillus apiarius	Paenibacillus_apiarius_NRRL_B_23460.xml.gz	176024		1676	False	Paenibacillus
GCF_002173495.1	1452	Bacillus atrophaeus	Bacillus_atrophaeus_SRCM101359.xml.gz	166355		1523	False	Bacillus
GCF_900103785.1	1137991	Geodermatophilus siccatus	Geodermatophilus_siccatus_DSM_45419.xml.gz	175336		1583	False	Geodermatophilus
GCF_000427405.1	929703	Flectobacillus major DSM 103	Flectobacillus_major_DSM_103.xml.gz	179441		1690	False	Flectobacillus
GCF_900099965.1	633440	Nonomuraea jiangxiensis	Nonomuraea_jiangxiensis_CGMCC_4_6533.xml.gz	213444		2024	False	Nonomuraea
GCF_900116365.1	376730	Zhouia amylolytica	Zhouia_amylolytica_CGMCC_1_6114.xml.gz	159441		1425	False	Zhouia
GCF_001831495.1	1763536	Thalassotalea crassostreae	Thalassotalea_crassostreae_LPB0090.xml.gz	192201		1889	False	Thalassotalea
GCF_000967305.2	511	Alcaligenes faecalis	Alcaligenes_faecalis_ZD02.xml.gz	195470		1847	False	Alcaligenes
GCF_001553935.1	544580	Actinomyces oris	Actinomyces_oris_T14V.xml.gz	132984		1220	False	Actinomyces
GCF_000026405.1	349519	Leuconostoc citreum KM20	Leuconostoc_citreum_KM20.xml.gz	123327		1087	False	Leuconostoc
GCF_001053185.1	1236609	Mycobacterium bohemicum DSM 44277	Mycobacterium_bohemicum_DSM_44277.xml.gz	153965		1342	False	Mycobacterium
GCF_000828655.1	1408159	Thermotoga caldifontis AZM44c09	Thermotoga_caldifontis_AZM44c09.xml.gz	124259		1066	False	Thermotoga
GCF_000332235.1	113355	Geminocystis herdmanii PCC 6308	Geminocystis_herdmanii_PCC_6308.xml.gz	129861		1083	False	Geminocystis
GCF_000010285.1	378753	Kocuria rhizophila DC2201	Kocuria_rhizophila_DC2201_DC2201_NBRC_103217.xml.gz	147450		1365	False	Kocuria
GCF_000815065.1	743971	Mycoplasma flocculare ATCC 27399	Mycoplasma_flocculare_ATCC_27399_Ms42.xml.gz	57829		515	False	Mycoplasma
GCF_000975035.1	1095025	Demequina flava	Demequina_flava_NBRC_105854.xml.gz	131542		1168	False	Demequina
GCF_002208805.1	170573	Staphylococcus pettenkoferi	Staphylococcus_pettenkoferi_FDAARGOS_288.xml.gz	125374		1055	False	Staphylococcus
GCF_001028025.1	290055	Faecalicatena fissicatena	Faecalicatena_fissicatena_KCTC_15010.xml.gz	154349		1350	False	Faecalicatena
GCF_000380005.1	1123301	Streptococcus didelphis DSM 15616	Streptococcus_didelphis_DSM_15616.xml.gz	115620		1075	False	Streptococcus
GCF_001435835.1	1423735	Lactobacillus concavus DSM 17758	Lactobacillus_concavus_DSM_17758.xml.gz	102429		963	False	Lactobacillus
GCF_000172975.1	469381	Dethiosulfovibrio peptidovorans DSM 11002	Dethiosulfovibrio_peptidovorans_DSM_11002.xml.gz	150991		1368	False	Dethiosulfovibrio
GCF_000420605.1	1121364	Corynebacterium massiliense DSM 45435	Corynebacterium_massiliense_DSM_45435.xml.gz	116810		1052	False	Corynebacterium
GCF_001904775.1	549789	Phormidium tenue NIES-30	Phormidium_tenue_NIES_30.xml.gz	153284		1362	False	Phormidium
GCF_900107235.1	321339	Citreimonas salinaria	Citreimonas_salinaria_DSM_26880.xml.gz	182714		1678	False	Citreimonas
GCF_000070465.1	360910	Bordetella avium 197N	Bordetella_avium_197N.xml.gz	176400		1626	False	Bordetella
GCF_000688395.1	1121020	Haematomicrobium sanguinis DSM 21259	Haematomicrobium_sanguinis_DSM_21259.xml.gz	147267		1321	False	Haematomicrobium
GCF_000772535.1	505317	Chelonobacter oris	Chelonobacter_oris_1662.xml.gz	204209		2135	False	Chelonobacter
GCF_900105165.1	652787	Mucilaginibacter mallensis	Mucilaginibacter_mallensis_MP1X4.xml.gz	174030		1634	False	Mucilaginibacter
GCF_001517405.1	1619313	Erwinia gerundensis	Erwinia_gerundensis.xml.gz	233504	R_ATPS4rpp;	2472	True	Erwinia
GCF_000278295.1	1094560	Bartonella taylorii 8TBB	Bartonella_taylorii_8TBB.xml.gz	113370		1044	False	Bartonella
GCF_001975665.1	996801	Polaribacter reichenbachii	Polaribacter_reichenbachii_6Alg_8T.xml.gz	159716		1460	False	Polaribacter
GCF_000807675.2	1736	Eubacterium limosum	Eubacterium_limosum_ATCC_8486.xml.gz	148655		1303	False	Eubacterium
GCF_000241305.1	1077974	Gordonia effusa NBRC 100432	Gordonia_effusa_NBRC_100432.xml.gz	154251		1362	False	Gordonia
GCF_001544455.2	196367	Caballeronia sordidicola	Caballeronia_sordidicola.xml.gz	213535		2032	False	Caballeronia
GCF_900167165.1	1121270	Carboxydocella sporoproducens DSM 16521	Carboxydocella_sporoproducens_DSM_16521.xml.gz	144711		1331	False	Carboxydocella
GCF_900115125.1	35799	Nitrosospira briensis	Nitrosospira_briensis_Nsp8.xml.gz	143321		1317	False	Nitrosospira
GCF_900111405.1	237682	Salinibacillus kushneri	Salinibacillus_kushneri_CGMCC_1_3566.xml.gz	160050		1470	False	Salinibacillus
GCF_000715845.1	371720	Streptomyces monomycini	Streptomyces_monomycini_NRRL_B_24309.xml.gz	196319		1852	False	Streptomyces
GCF_900103775.1	211114	Allokutzneria albata	Allokutzneria_albata_DSM_44149.xml.gz	192281		1770	False	Allokutzneria
GCF_001571085.1	1314749	Azohydromonas lata NBRC 102462	Azohydromonas_lata_NBRC_102462.xml.gz	204713		1941	False	Azohydromonas
GCF_900114265.1	369401	Flaviramulus basaltis	Flaviramulus_basaltis_DSM_18180.xml.gz	168596		1558	False	Flaviramulus
GCF_001311035.1	1291051	[Clostridium] glycyrrhizinilyticum JCM 13369	Clostridium_glycyrrhizinilyticum_JCM_13369.xml.gz	128449		1155	False	[Clostridium]
GCF_000820705.1	1325933	Clostridium polynesiense	Clostridium_polynesiense_MS1.xml.gz	150320		1437	False	Clostridium
GCF_900098745.1	1892869	Actinomyces glycerinitolerans	Actinomyces_glycerinitolerans.xml.gz	136303		1207	False	Actinomyces
GCF_001721185.1	351679	Xenorhabdus hominickii	Xenorhabdus_hominickii_ANU1.xml.gz	216480	R_ATPS4rpp;	2309	True	Xenorhabdus
GCF_000025265.1	469383	Conexibacter woesei DSM 14684	Conexibacter_woesei_DSM_14684.xml.gz	182257		1663	False	Conexibacter
